001,2026,海绵宝宝：深海大冒险,4828.5
002,2026,过家家,5362.9
003,2026,月光里的男孩,32
004,2026,新狂蟒之灾,766.1
005,2026,梵高：诗情画意,52.2
006,2026,半夜叫你别回头2,369.5
007,2026,96分钟：列车爆炸案,777
008,2026,不过是上班,1423.7
009,2026,马腾你别走,1453.3
010,2026,情缘曹雪芹,512.4
011,2026,八府巡按,31
012,2026,我的朋友安德烈,1578.5
013,2026,时空奇旅,103.6
014,2026,飞行家,8092.6
015,2026, 解决专家,3.2
016,2026,重返寂静岭,14155.9
017,2026,极限审判,6141.3
018,2026,爆水管,13192.5
019,2026,翠湖,235
020,2026,舒克贝塔之微缩人类,672.8
021,2026,镖人：风起大漠,144360
022,2026,飞驰人生3,440492.2
023,2026,惊蛰无声,136061
024,2026,星河入梦,10192.6
025,2026,熊猫计划之部落奇遇记,28749.8
026,2026,熊出没·年年有熊,106177
027,2026,夜王,22500.7
028,2026,暗黑新娘！,476.3
029,2026,洛杉矶劫案,2493.1
030,2026,非穷尽列举,1023.6
031,2026,呼啸山庄,3848.9
032,2026,奇迹梦之队,2974.1
033,2026,拼桌,784.4
034,2026,上学路上之山海无阻,144.1
035,2026,挽救计划,24881
036,2026,至尊马蒂,384.3
037,2026,你好，爱美丽,157.2
038,2026,河狸变身计划,16062
039,2026,时间旅馆,18.3
040,2026,密探,1133.7
041,2026,蜂蜜的针,1275.8
042,2026,绿液惊魂,282.2
043,2026,搜查瑠公圳,373.8
044,2026,我的妈耶,6536（至4-18）
045,2026,蝴蝶楼·惊魂,6846（至4-18）
046,2026,超级马力欧银河大电影,11253（至4-18）
047,2026,我，许可,15521（至4-18）
048,2026,天才游戏,5183（至4-18）
049,2026,阳光女子合唱团,1692（至4-18）
048,2026,角头：大桥头,353.9
050,2026,植物学家,54.9
051,2026,情感价值,78（至4-18）
052,2026,器子,351（至4-18）
